PlaceID,abbreviation,name
585,,DAHIWADI
586,,KORHALE BK
587,,JINTI
588,MALINAGAR,MALINAGAR
589,,NEERA
590,,WAHOLI
591,,URULIKANCHAN
592,,ARALI(MANGALVEDHA)
593,,KASEGAON
594,,BELSAR
595,,RAJEGAON(BHIGWAN)
596,,DIKSAL
597,,MAHUD BK.
598,,URULIDEVACHI
599,PANDHAR,PANDHARPUZ
600,,SARTAPWADI
601,,SHIRSUFAL
602,,Javala
603,,CHINCHOLI MIDC SOLAPUR
604,,Borkarwasti
605,,MAUDI
606,,ALEGAON
607,,LONI-KALBHOR
608,,LAVANGI
609,,BHIGVAN
610,,PHALATAN
611,KORWALI(MOHAL),KORWALI(MOHAL)
612,KETUR(KARMALA),KETUR(KARMALA)
613,,BHOSE
614,,ARYEN
615,JALGAON SUPE,JALGAON SUPE
616,KHUDUS,KHUDUS
617,,LOHAGOAN
618,SIDDAPUR,SIDDAPUR
619,,Kolki
620,,FURSUNGI
621,,WAKARI
622,PURANDAWADE,PURANDAWADE
623,,BAWADA
624,,MANGALWEDA
625,CHINCHWAD,CHINCHWAD
626,,SHIRAPUR
627,,AMBIKANAGR(KARJAT)
628,CHIKMAHUD,CHIKMAHUD
629,,KLAMBOLI
630,,MANKARWADI
631,,CHOUPHULA
632,VENEGAON,VENEGAON
633,,BEGAMPUR
634,KAVID GAON,KAVID GAON
635,MHATOBA ALANDI,MHATOBA ALANDI
636,,LONI BHAPKAR
637,,KARHAWAGAJ
638,,SURVADI
639,MALOLI,MALOLI
640,,SUSTE
641,,NANDUR
642,SOLAPUR(HOTAGI),SOLAPUR(HOTAGI)
643,,CHALE
644,,VIHAL
645,,KHANDALI
646,,SHIRVAL
647,,WAGHALWADI
648,,SHINDEWADI
649,,PIMPALNER
650,,SAMANTHALI
651,,TEMBHURNIT
1651,PHALTAN(WADJAL),PHALTAN(WADJAL)
1652,NAZARE,NAZARE
1653,GARGAON,GARGAON
1654,,YASHWANTNAGAR
1655,,PAPARI
1656,,SONAWDI DAUND
1657,KAWADIPAT,KAWADIPATH
1658,VATHAR NIMBALKAR,VATHAR NIMBALKAR
1659,TAKALI SIKANDAR,TAKALI SIKANDAR
1660,,VADGAON-NIMBALKAR
1661,,SUPE
1662,,PIMPRE
1663,,PIMPRAD
1664,,AKLUJ(BAVADA)
1665,SORTAPWADI PHATA,SORTAPWADI PHATA
1666,SHELGAON WANGI,SHELGAON WANGI
1667,,LAWANG
1668,,LONI-DEOKAR
1669,,DASUR
1670,,RAJURI
1671,,NIMBHORE
1672,,BHALWANI
1673,,BHAVANI-NAGAR
2673,,URULI-KANCHAN
2674,,LONI 
2675,,KHED
2676,MASALWADI,MASALWADI
2677,,AABHAD
2678,,HANDEWADI
2679,,MAWDI MORGAON
2680,,BHOSE-PANDHAREWADI
2681,,CHOPAN PHATA
2682,,VATHAR COLONY
2683,,KARHATI
2684,,SURWADI
2685,,[UNE
2686,,JANCTION
2687,,SARATI
2688,,LONI-VYANKANATH
2689,,VALCHANDNAGAR
2690,BORKAR WASTI,BORKAR WASTI
2691,,RAVANGAON
2692,PHARANDWADI,PHARANDWADI
2693,,ADARKI
2694,,FONDSHIRAS
2695,,MARKET YARD
2696,,MALWADI
2697,,GOPALPUR
2698,,DEULGAON-RAJE
2699,NAIGAON,NAIGAON
2700,MALTHAN,MALTHAN
2701,,BARAMATI .KHADE NGR
2702,,BHANDGAON PHATA
2703,,9767853629
2704,,WANEWADI
2705,,NIMSAKHAR
2706,,GOTONDI
2707,,ARAN
2708,,MANDAVE
2709,,BARSHI
2710,,DIGHEWADI
2711,,MIDC JEJURI
2712,,MIDC  TEMBURNI
2713,,WALHE
2714,,MANJRI(SANGOLA)
2715,,DHOTRI
2716,SHARDANAGAR,SHARDANAGAR
2717,,KHANDAJ
2718,,BIROBACHIWADI
2719,,KACHAREWADI
2720,,MIRDHE
2721,,ROPALE
2722,,SHELGAON
2723,,LONI DEOVKAR
2724,,VIDANI
2725,,KURTI
2726,,KOLA
2727,,AGOTI
2728,,VASUNDE
2729,,GARADE
2730,,WAKHRI
2731,,JALGAON KP
2732,,DALAJ NO 3
2733,,KATHPHAL(BMT)
2734,,SONGAON
2735,,MALAD(DAUND)
2736,,BORIANDI
2737,,NIRWANGI
2738,,WARWADE
2739,,MADHA
2740,,MOREWADI
2741,,WADI KUROLI  
2742,,TARDOLI
2743,,GHADGEWADI
2744,,DHOTRI (SOLAPUR)
2745,,1
2746,,NIMGAON
2747,,NASHIK
2748,,JACHAKWASTI
2749,,MURTI MODHAVE
2750,.,NIMGAON (MAGRACH)
2751,,VAHLE
2752,,KATKAR
2753,,DEVKARWADI
2754,,LAMBOTI(SOLAPUR)
2755,,Tulshi Karkamb
2756,,DEULGAON-GADA
2757,,MHADA
2758,,THOPTEWADI
2759,,MUDHAVI
2760,,PAREWADI
2761,,SHRIRAMPUR
2762,,MHASWAD
2763,,MAHSWAD
2764,,DHARMAPURI
2765,,LAKHEWADI
2766,,VIDNI
2767,,NAGAR
2768,,BONDALE
2769,,SANGVI
2770,,PANDHARE
2771,,WATAMBARI
2772,,UNDAWADI SUPE
2773,,BHONDALE
2774,,VAJEGAON
2775,,BHIMANAGAR
2776,,VELLAPUR
2777,,SHRIGODA
2778,,ADEGAON
2779,,DAUND .PATAS ROAD
2780,,SURAVDI
2781,,JEHUR(KARMALA)
2782,,PURANDAR
2783,,YEVAT
2784,,KUNJERWADI
2785,TAKALI,TAKALI(PANDHARPUR)
2786,MIDC BARAMATI,MIDC BARAMATI
2787,,A.NAGAR
2788,,HOTEL LUCKY PALACE INDAPUR
2789,,WAJEGAON
2790,,YEWAT
2791,,LONI DEVAKAR
2792,,KURULI
2793,,JAWALA
2794,,WANGI NO. 3
2795,,BIROBACHIWADI.PATAS
2796,,BIROBACHIWADI.PATAS DAUND ROAD
2797,,UJANI DAM
2798,,KAPASHI
2799,,KALAMB.
2800,,KHALAD
2801,,"KEDGAON,CHOUFULLA "
2802,,"WAKHARI,PANDHARPUR"
2803,,MADANWADI
2804,,RAHU
2805,,KORTI
2806,,"WADEGAON,SANGOLA"
2807,,GONDHWALE
2808,,"VARVAND,DAUND"
2809,,DHOPTEVADI
2810,,JONONI
2811,,BIJWADI
2812,,WAGHOLOI
2813,,MHASOBACHIWADI
2814,,MANGALWEDHA-PANDHARPUR ROAD
2815,0,0
2816,,SHREEPUR
2817,,PANHDARPUR
2818,,ACHEGAON(SOLAPUR)
2819,,LONI MALIMALA
2820,,PAWARWADI
2821,,MANCHAR
2822,,NIRA VAGAJ
2823,,GHORVADI
2824,,KHARATWADI
2825,,DHAWLEWADI
2826,,SHIVANE [ SANGOLA]
2827,,SAHAJPUR PHATA
2828,,NIRGUDE
2829,,DORLEWADI
2830,,BALPUDI
2831,,VATNBARE
2832,,BARADGAON
2833,,GORVADI
2834,,VADICOROLI
2835,,KHAMGAON PHATA
2836,,KODIT
2837,,Akiuj
2838,,SHIRSATWADI
2839,,SAHAJPUR 
2840,,PIMPRI BK.
2841,,PIMPALWADI
2842,,DORGEWADI
2843,,KALWAN
2844,,RAJWADI
2845,KANHERISHIV,KANHERISHIV
2846,MANDAVAGAN F,MANDAVGAN F
2847,,ESBAVI PANDHARPUR
2848,,SANKARNAGAR[  AKLUJ
2849,,WASUNDE
2850,,Kurwali Gaon
2851,,DHULDEV
2852,,ESBAVI 
2853,,FARANDWADI
3158,,Wadgaon Nimbalkar
3463,,DIVE
3768,SANGAMNER,SANGAMNER
4073,,GOPALWADI
4378,,BHODANI
4683,,VALSANG
4988,,KETUR
5293,,KAUTALI
5598,,KARAHAGAT
5903,,SHENDECHINCH
6208,,PADSALE
6513,,YAWALI
6818,,LAVANG.
7123,,Nimbodi
7428,,PHURSANGI
7733,,SOREGAON
8038,,KARHAVAGAS
8343,,PARNER
8648,,SORTAPWADI
8953,,VELEWADI
9258,,SADE
9563,,PANDHAREWADI
9868,,YAVAT SBI
10173,,Ambi Jalgaon
10478,,Tannu
10783,,Washimbe
11088,TANDALI,TANDALI
11393,MANDAVE PATI,MANDAVE PATI
11698,,KHANDABACHIWADI
12003,,MIRAJ
12308,,AHEMDNAGAR
12613,,Wagoli
12918,,MANJARI.
13223,,PADEGAON
13528,,ZARE
13833,,UPLAVE
14138,,PIMPRI CHINCHWAD
319138,,KAPURHOL
319443,,KHEDBHALAWANI
319748,,CHAKAN
320053,,PARINCHE
320358,,GIRIM(DAUND)
320663,,WARWAND
320968,PARANDA,PARANDA
321273,,SHELAVE
321578,,Ghonda Dhaba
625663,,Paniv
625968,,KEM
626273,,Shiroli
626578,,Wairless Phata
626883,,NANGAON
627188,,Kole Junoni
627493,,MATHACHIWADI PHALTAN
627798,,SWAMICHINCHOLI
628103,,Gunware
628408,,SURAVDI Phata
628713,,HIRAJ
629018,,KARMBA(BALE)
934018,,SIDDHATEK
934323,,RAJEWADI
934628,,KHARDI
934933,,Bori Bhadak
935238,,TURK PIMPARI
935543,,MORACHI
935848,,KONDVA
936153,PANDHARPUR1,PANDHARPUR1
936458,,SHIKRAPUR
936763,,TALENGWADI
937068,,BORIPARDHI
937373,,Tadavale
937678,,PADHEGAON
937983,,Shinde Wasti
938288,SARAFWADI,SARAFWADI
938593,,PILIV ( Akluj)
938898,,VEET
939203,,URALI KANCHAN
939508,,KURUL
939813,,KASTHI
940118,,FATEWADI
940423,,DAHITANE
940728,,SHINDAWANE
941033,T(PANDHARPUR),T(PANDHARPUR)
1246033,,LONI MALIMADA
1246338,SINGHAPUR,SINGHAPUR
1246643,ASHTI,ASHTI
1246948,,Karahawagaj
1247253,LINGALI,LINGALI
1247558,,BANDALWADI
1247863,,PADHARPUR
1248168,,BALE SOLAPUR
1248473,,Mandve Pati
1248778,,ADHEGAON
1249083,,Q
1249388,,KANEHRI SHIV
1249693,,MALSHIRAS
1249998,,VIT(KARMALA)
1250303,,KURUDWADI
1250608,ROTI,ROTI
1250913,,WAGALWADI
1251218,,KUROLI PHATA
1251523,,MANGELWEDHA
1251828,,BADE KHAN
1252133,,Ghagargaon ( Indapur )
1252438,NANNAJ,NANNAJ
1252743,,MARJEWADI
1253048,T.SHETPHAL,T.SHETPHAL
1253353,,JUNCTION`
1253658,,MALSIRAS
1253963,,CHUFULLA
1254268,,KURWALI PHATA
1254573,,SAKARWADI
1254878,,MANJRI FARM
1255183,,CHAUFALA
1255488,,WADGAON
1255793,,SOLUPUR
1256098,,BELAPUR
1256403,,BHALAWANI
1256708,,KARDAR
1257013,,KURKAMBH
1257318,,TEMBHURI
1257623,NIMGAON KETKI.,NIMGAON KETKI.
1257928,,JUNCTION /INDAPUR
1258233,,JADHAVWADI/PHALTAN
1258538,,WEDNI
1258843,,PHALTAN/KOLAKI
1259148,,FULCHINCHOLI
1259453,,SHIRBAVI
1259758,,VARKUTE BK
1564758,,BARAMAYI
1565063,,PHALTAN-KOLAKI
1565368,,WANGI(TEMBHURNI)
1565673,,METHAVADE PHATA
1565978,,NATEPUTR
1566283,,WAGHOI
1566588,,SHIRSAGAON KATA
1566893,,Sangam
1567198,,Bhambore
1567503,,MUSTI-PINJARWADI
1567808,,KARZAT
1568113,TIRHE,TIRHE
1568418,,PIRACHI KUROLI
1568723,,VALHE
1569028,,GALANDEWADI
1569333,,KADAKI
1569638,,HIVARE
1569943,,VAYRLES FATA
1873723,,KALEWADI/SASWAD
1874028,,MANDAKI
1874333,,BARAMATII
1874638,,VAKHRI
1874943,,LAMJEWADI
1875248,,MAHESHGOA
1875553,,WAAGHOLI
1875858,,BARHANPUR
1876163,,Pandarpur
1876468,,GUNAWADI PIMPALI
1876773,,DHUMEWADI
1877078,,KARFAL
1877383,,BOX
1877688,,LAXMI TAKLI
1877993,,SARDEWADI
1878298,,BIBIDARPHAL
1878603,,LONIKALBHOR
1878908,,KAVADIPATH
1879213,,ANDHORI / LONAND
1879518,,WANWADI/ BARAMATI
1879823,,MANEWADI-PHALTAN
1880128,,VAKIL VASTI
1880433,,MALEGAON BK
1880738,,BARAD PHALTAN
1881043,,DOUND-GOPALWADI
1881348,,Kamalapur SANGOLA
1881653,,KONDI /SOLAPUR
1881958,,BORIPARDHI/CHAUFULA
1882263,,DAUND / LINGALI
1882568,,DEKKAN CHAUK /PHALTAN
1882873,,NITURE
1883178,,KATPHAL
1883483,,TANDALI-KASHTI
1883788,,PANDE
1884093,,VARSHI - SANGOLA
1884398,,CHOWPHULA
1884703,,VADJAL
1885008,,PIMPRI K H
1885313,,JUCTION
1885618,KURULI PHATA,KURULI PHATA
1885923,,GYANBA JI CITY
1886228,SURALI,SURALI
1886533,,CHANDAPURI
1886838,,WAKI [ SHIVANE ]
1887143,PINJARWADI,PINJARWADI
1887448,,BAVDA
1887753,,KUMBHARI
1888058,,BIROBAWADI
