owner,vehicleType,vehicleNo,make,capacity,regDate,chassisNo,engineNo,createdBy
UNKNOWN,UNKNOWN,MH-16.AY-7991,SFC 407 TURBO,2200 KG,NULL,MAT455221G8417016,497SP67GTY624197,System
UNKNOWN,UNKNOWN,MH-42 B-8950,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42 B-7538,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8640,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42T0944,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8950,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8127,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42T0114,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12PQ1378,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12NX2571,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH04BG3555,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QA6207,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M5824,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,5744,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16CC4112,,1.5,NULL,,,System
UNKNOWN,UNKNOWN,MH12PQ7583,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42M5613,,,NULL,,,System
UNKNOWN,UNKNOWN,296,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45D5596,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42N8805 ,,,NULL,,,System
UNKNOWN,UNKNOWN,MH 42 B 9608,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M8805,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT4023,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH-42 B-8950.,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42K7271,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AY7991,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8972,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11AL6467,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.42.AQ.9972,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12NX8572,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX3850,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16AY7991,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12HD1959,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11AN6467,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,988/929/990,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.12.HD.1959,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12RN6003,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ4405,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AY3741,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT5386,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH20PT7625,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12BG0769,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B7538,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ1668.,,1,NULL,,,System
UNKNOWN,UNKNOWN,MH12MV0853,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12EG9206,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF1361,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.24.AU.4264,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH24AU4264,,1.5,NULL,,,System
UNKNOWN,UNKNOWN,MH13CU4257,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DG0769,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DG0464,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX4089,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B9776,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11CH0633,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH44/9054,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12CT8474,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12PQ5375,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12JF1866,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45-1659,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT7333,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ1757,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QW9563,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16CC7992,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QG6630,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,7242,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH25U1245,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12PQ6500 ,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42WQ8452,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12 AQ 1009,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH 12 GT 7681,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45-9891,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH 12 EQ 1009,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12EQ1009,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT7681,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12CU8541,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF1854,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH04CP6079,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12 PQ 1378,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MHQG3135,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13CJ3786,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ6308,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH10AQ1030,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT6378,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12LT3428,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12HD8369,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11CH9460,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12EQ6882,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13CU8541,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.12.DG.769,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QW7882,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,27,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH22N2499,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B1582,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12FZ9497,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH09CA0573,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B9031,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,1738,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DT8853,,,NULL,,,System
UNKNOWN,UNKNOWN,MH10Z3517,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ5630,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12NX7841,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF3701,,,NULL,,,System
UNKNOWN,UNKNOWN,MH11AL2066,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MHCU1463,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ6741,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42AQ6971,,,NULL,,,System
UNKNOWN,UNKNOWN,MH04FT6215,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX4350,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH04FP6215,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12HD2984,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12PQ8207,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12RN9132,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH20W8572,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11CH8056,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12HC0394,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12HD6140,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42AQ1668,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12RN7632,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ7614,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13CU9496,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13R3990,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13R928,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,0,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SX1795,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13DQ0473,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45T3171,,,NULL,,,System
UNKNOWN,UNKNOWN,MH13R2384,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13R0928,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF7003,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45T0927,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH10Z2432,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH14AU1472,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX4296,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,7,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SX6630,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45T4174,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH25U2837,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,4,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11M5206,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12AQ6630,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DT3955,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH-42M5613,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH 42 M5613,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13CU2479,,,NULL,,,System
UNKNOWN,UNKNOWN,MH 42AK1668,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DT2927,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42HD6140,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,6,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SF1374,,,NULL,,,System
UNKNOWN,UNKNOWN,MH45AF3557,,,NULL,,,System
UNKNOWN,UNKNOWN,MH13PU9496,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ6280,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12QW3464,,,NULL,,,System
UNKNOWN,UNKNOWN,MH25AJ7166,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,20,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42E7900,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH43E7900,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH 12 SX 2494,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12AY7991,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SX0194,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M7013,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,5,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11AL1995,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,8,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SX2496,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX7328,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M9392,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12SX7471,,,NULL,,,System
UNKNOWN,UNKNOWN,3,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12SF4902,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QG7510,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42 B 8640,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12PQ2553,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ3083,,,NULL,,,System
UNKNOWN,UNKNOWN,9604240830,,,NULL,,,System
UNKNOWN,UNKNOWN,MH04FP0584,,,NULL,,,System
UNKNOWN,UNKNOWN,MH45AE3701,,,NULL,,,System
UNKNOWN,UNKNOWN,1,NULL,NULL,NULL,NULL,NULL,System
