PackageID,name,description,Returnable,Rate
1189, PETI ,,,
1190,MEDICINE BOX( MR),MEDICINE,0,0:00 
1191,PUMP PETI,PUMP PETI,0,0:00 
1192,205/60R15 TYRE,TYRE,0,0:00 
1193,3.00-17 TYRE,TYRE,0,0:00 
1194,COL,,,
1195,PETI,,,
1196,PLET,,,
1197,RASSI BUNDAL,,,
1198,CROWN PETI,,,
1199,155/65 R12 TYRE,TYRE,0,0:00 
1200,185/65 R14 TYRE,TYRE,0,0:00 
1201,155/65 R13 TYRE,TYRE,0,0:00 
1202,PLYWOOD PETI,,,
1203,BUCKET,,,
1204,MEDICINE CAN,,,
1205,BAG BUNA,,,
1206,D FREEZ,,,
1207,80/100-18 TYRE,TYRE,0,0:00 
1208,90/100-10 TYRE,TYRE,0,0:00 
1209,DT CEMENT 25 LT,,0,0:00 
1210,205/3250,,0,0:00 
1211,175/70 R13 TYRE,TYRE,0,0:00 
1212,185/85 R16 TYRE,TYRE,0,0:00 
1213,MEDICINE BUCKET,,0,0:00 
1214,OIL DRUM,,,
1215,OLD CAR TYRE,,,
1216,SPEAR BOX,,,
1217,TOMMI BUNDAL,,,
1218,8-18 TYRE,,,
1219,TWO WHEELER TYRE,,,
1220,GONI BOX,,,
1221,205/60R16 TYRE,TYRE,0,0:00 
1222,90/90-12 TYRE,TYRE,0,0:00 
1223,2.75-17 TYRE,TYRE,0,0:00 
1224,100/80-17 TYRE,TYRE,0,0:00 
1225,STAND BUNDAL,,,
1226,TADPADRI BUNDAL,,,
1227,14.00-20,,,
1228,ROLL,,,
1229,110/80-17 TYRE,TYRE,0,0:00 
1230,155/65 R14 TYRE,TYRE,0,0:00 
1231,185/80 D14 TYRE,TYRE,0,0:00 
1232,FEVICOL BOX,,,
1233,DARWA,,,
1234,KITCHEN TROLLY,,,
1235,100/90-18 TYRE,TYRE,0,0:00 
1236,215 R14,,,
1237,195 R15,,,
1238,165/80 D12 TYRE,,,
1239,23/1-26 TYRE,,,
1240,205/65 R16,,,
1241,MOTAR,,,
1242,195/60 R15,,,
1243,FRAME,,,
1244,AXEL,,,
1245,BUNDAL,,,
